Ticker,Price,2025-10-06,2025-10-07,2025-10-08
AAPL,Open,,,
AAPL,High,,,
AAPL,Low,,,
AAPL,Close,,,
AAPL,Adj Close,,,
AAPL,Volume,,,
NFLX,Open,1160.3699951171875,1177.7900390625,1197.1099853515625
NFLX,High,1163.5799560546875,1201.3699951171875,1217.3900146484375
NFLX,Low,1145.449951171875,1177.4599609375,1192.0
NFLX,Close,1163.31005859375,1191.06005859375,1214.25
NFLX,Volume,2968600.0,3309100.0,2851400.0
AMZN,Open,221.0,220.8800048828125,222.9199981689453
AMZN,High,221.72999572753906,222.88999938964844,226.72999572753906
AMZN,Low,216.02999877929688,220.1699981689453,221.19000244140625
AMZN,Close,220.89999389648438,221.77999877929688,225.22000122070312
AMZN,Volume,43690900.0,31194700.0,46686000.0
META,Open,705.1900024414062,717.719970703125,713.4500122070312
META,High,716.8800048828125,718.5,719.6500244140625
META,Low,690.510009765625,705.75,707.8099975585938
META,Close,715.6599731445312,713.0800170898438,717.8400268554688
META,Volume,21654700.0,12062900.0,10790600.0
GOOG,Open,245.77999877929688,248.92999267578125,246.1999969482422
GOOG,High,252.1999969482422,251.5500030517578,247.25999450683594
GOOG,Low,245.69000244140625,246.80999755859375,245.08999633789062
GOOG,Close,251.50999450683594,247.1300048828125,245.4600067138672
GOOG,Volume,18309000.0,13811200.0,14136500.0
